id,canonical_smiles,molecule_chembl_id,pchembl_value,standard_type,interval
650,CC(C)C[C@H](NC(=O)[C@H]1O[C@@H]1C(=O)O)C(=O)NCCCCN=C(N)N,CHEMBL374508,6.4,IC50,B
651,C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc2ccccc2)\C=C\[N+](=O)[O-],CHEMBL3907022,9.36,Ki,C
652,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc2ccccc2)\C=C\[N+](=O)[O-],CHEMBL3934979,7.8,Ki,B
653,[O-][N+](=O)\C=C\[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3,CHEMBL3903171,6.89,Ki,B
654,[O-][N+](=O)\C=C\[C@H](CCc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3,CHEMBL3974129,7.96,Ki,B
655,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C)\C=C\[N+](=O)[O-],CHEMBL3982135,6.89,Ki,B
656,CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1)\C=C\[N+](=O)[O-],CHEMBL3921142,7.6,Ki,B
657,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc2ccccc2)\C=C\[N+](=O)[O-],CHEMBL3893138,7.55,Ki,B
658,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CCc2ccccc2)\C=C\[N+](=O)[O-],CHEMBL3930083,7.77,Ki,B
659,Clc1ccc2c(NCCCN3CCOCC3)ccnc2c1,CHEMBL1241726,4.82,IC50,A
660,Clc1ccc2c(NCCN3CCOCC3)ccnc2c1,CHEMBL148139,4.39,IC50,A
661,OCCNc1ccnc2cc(Cl)ccc12,CHEMBL31000,4.21,IC50,A
662,OCCCNc1ccnc2cc(Cl)ccc12,CHEMBL460418,4.55,IC50,A
663,Clc1ccc2c(NCc3ccccc3)ccnc2c1,CHEMBL528696,4.36,IC50,A
664,Clc1ccc2[nH]c3c(NCCCN4CCOCC4)ncnc3c2c1,CHEMBL597857,4.82,IC50,A
665,Clc1ccc2c(NCCCN3CCOCC3)ccnc2c1,CHEMBL1241726,4.92,Ki,A
