	canonical_smiles	molecule_chembl_id	pchembl_value	standard_type	interval
36	CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@H](CNc2ccc(cc2)N3CCCCC3)Cc4ccccc4	CHEMBL353725	8.7	Ki	C
37	CC(C)C[C@H](NC(=O)[C@H]1O[C@@H]1C(=O)O)C(=O)NCCCCN=C(N)N	CHEMBL374508	7.33	IC50	B
38	CC[C@@H](C)[C@H](\N=C(/S)\NCc1ccccc1)C(=O)N[C@H](Cc2c[nH]c3ccccc23)C=O	CHEMBL1790995	8.66	IC50	C
39	CC[C@@H](C)[C@H](\N=C(/S)\Nc1cccc2ccccc12)C(=O)N[C@H](Cc3c[nH]c4ccccc34)C=O	CHEMBL1790994	8.35	IC50	C
40	O=C(N[C@H](Cc1ccccc1)C(=O)N[C@@H](CCc2ccccc2)CNc3ccc(cc3)N4CCCCC4)OCc5ccccc5	CHEMBL169448	9.0	Ki	C
41	CCC(C)[C@H](NS(=O)(=O)c1cccc2ccccc12)C(=O)N[C@@H](Cc3ccc(O)cc3)C=O	CHEMBL336415	8.85	IC50	C
42	CC[C@@H](C)[C@H](NC(=O)c1ccccc1)C(=O)N[C@H](Cc2c[nH]c3ccccc23)C=O	CHEMBL1790996	8.68	IC50	C
43	CC[C@@H](C)[C@H](\N=C(/S)\Nc1ccccc1)C(=O)N[C@H](Cc2c[nH]c3ccccc23)C=O	CHEMBL1791000	8.66	IC50	C
44	CSCC[C@@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CCc2ccccc2)CNc3ccc(cc3)N4CCCCC4	CHEMBL172456	7.44	Ki	B
45	CCC(C)[C@H](NS(=O)(=O)c1cccc2ccccc12)C(=O)N[C@@H](Cc3ccccc3)C=O	CHEMBL336591	9.02	IC50	C
46	COC(=O)C[C@H](NS(=O)(=O)c1cccc2ccccc12)C(=O)N[C@H](Cc3c[nH]c4ccccc34)C=O	CHEMBL132595	8.37	IC50	C
47	CC[C@@H](C)[C@H](NS(=O)(=O)c1ccc(C)cc1)C(=O)N[C@H](Cc2c[nH]c3ccccc23)C=O	CHEMBL1790999	8.66	IC50	C
48	CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@H](CNc2ccccc2)Cc3ccccc3	CHEMBL423447	6.64	Ki	B
49	COc1ccc(NCCNC(=O)[C@H](CC(C)C)NC(=O)c2ccc(cn2)C(C)C)cc1	CHEMBL77354	5.82	IC50	A
50	O=C[C@@H](Cc1c[nH]c2ccccc12)NC(=O)CNS(=O)(=O)c3cccc4ccccc34	CHEMBL336748	6.82	IC50	B
51	O=C[C@H](Cc1c[nH]c2ccccc12)NC(=O)CCc3ccccc3	CHEMBL134565	6.96	IC50	B
52	CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@H](CNc2ccc(cc2)N3CCOCC3)Cc4ccccc4	CHEMBL170242	8.7	Ki	C
53	O=C(N[C@H](CCc1ccccc1)C(=O)N[C@@H](CCc2ccccc2)CNc3ccc(cc3)N4CCCCC4)OCc5ccccc5	CHEMBL169708	8.05	Ki	C
54	CC(C)C[C@H](NS(=O)(=O)c1cccc2ccccc12)C(=O)N[C@H](Cc3c[nH]c4ccccc34)C=O	CHEMBL341577	8.66	IC50	C
55	O=C[C@H](Cc1c[nH]c2ccccc12)NC(=O)C(Cc3ccccc3)Cc4ccccc4	CHEMBL132652	7.5	IC50	B
56	C[C@@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CCc2ccccc2)CNc3ccc(cc3)N4CCCCC4	CHEMBL353633	5.39	Ki	A
57	CC(C)[C@@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CCc2ccccc2)CNc3ccc(cc3)N4CCCCC4	CHEMBL171403	9.0	Ki	C
58	COc1ccc(NCCNC(=O)[C@H](CC(C)C)NC(=O)c2ncn(n2)c3ccccc3Cl)cc1	CHEMBL74142	5.64	IC50	A
59	CC[C@@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C=O	CHEMBL1791001	8.48	IC50	C
60	CC[C@@H](C)[C@H](NC(=O)NCc1ccccc1)C(=O)N[C@H](Cc2c[nH]c3ccccc23)C=O	CHEMBL1790990	8.21	IC50	C
61	CCC(C)[C@H](NS(=O)(=O)c1cccc2ccccc12)C(=O)N[C@H](C=O)C(C)C	CHEMBL341197	9.13	IC50	C
62	CC[C@@H](C)[C@H](NS(=O)(=O)c1cccc2ccccc12)C(=O)N[C@H](Cc3c[nH]c4ccccc34)C=O	CHEMBL1790993	8.72	IC50	C
63	CC[C@@H](C)[C@H](NS(=O)(=O)c1cccc2ccccc12)C(=O)N[C@H](Cc3c[nH]c4ccccc34)C=O	CHEMBL1790993	8.7	IC50	C
64	CC[C@@H](C)[C@H](NC(=O)Nc1cccc(C)c1)C(=O)N[C@H](Cc2c[nH]c3ccccc23)C=O	CHEMBL1790997	8.48	IC50	C
65	CC[C@@H](C)[C@H](NC(=O)NC(C)C)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C=O	CHEMBL1790992	7.52	IC50	B
66	CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1)C=O	CHEMBL99195	8.89	Ki	C
67	CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1)C=O	CHEMBL99195	8.3	IC50	C
68	CCC(C)[C@H](NS(=O)(=O)c1cccc2ccccc12)C(=O)NCC=O	CHEMBL135471	7.02	IC50	B
69	CC[C@@H](C)[C@H](NC(=O)Nc1cccc2ccccc12)C(=O)N[C@H](Cc3c[nH]c4ccccc34)C=O	CHEMBL1790989	8.7	IC50	C
70	CC(C)[C@H](NS(=O)(=O)c1cccc2ccccc12)C(=O)N[C@H](Cc3c[nH]c4ccccc34)C=O	CHEMBL136252	9.01	IC50	C
71	CCCC(CCC)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C=O	CHEMBL335007	6.54	IC50	B
72	CC[C@@H](C)[C@H](NS(=O)(=O)c1ccc2ccccc2c1)C(=O)N[C@H](Cc3c[nH]c4ccccc34)C=O	CHEMBL1791004	8.41	IC50	C
73	COc1ccc(NCCNC(=O)[C@H](CC(C)C)NC(=O)c2ccc(cc2)C(C)C)cc1	CHEMBL306503	7.3	IC50	B
74	OC(=O)CNC(=O)c1ccc2c(c1)C(=O)C(=O)c3ccccc23	CHEMBL300241	6.05	IC50	B
75	COC(=O)CCC(=O)Nc1ccc2c(c1)C(=O)C(=O)c3cc(NC(=O)CCC(=O)OC)ccc23	CHEMBL51776	5.27	IC50	A
76	O=C1C(=O)c2cccnc2c3ccccc13	CHEMBL50627	6.22	IC50	B
77	CC(C)(C)C(=O)Nc1ccc2c(c1)C(=O)C(=O)c3ccccc23	CHEMBL51314	6.3	IC50	B
78	Nc1ccc2c3ccccc3C(=O)C(=O)c2c1	CHEMBL417727	6.22	IC50	B
79	Fc1ccccc1C(=O)Nc2ccc3c(c2)C(=O)C(=O)c4ccccc34	CHEMBL50878	6.4	IC50	B
80	CCC(C)[C@H](NC(=O)c1cccc(CN)c1)C(=O)N[C@@H](CCc2ccccc2)C(=O)CO	CHEMBL98540	7.09	Ki	B
81	CCC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CCc2ccccc2)C(=O)CO	CHEMBL99561	5.52	Ki	A
82	CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CCc2ccccc2)C(=O)COCc3ccccc3	CHEMBL100428	5.2	Ki	A
83	O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@H]2[C@@H](NC2=O)OC(=O)c3ccccc3)OCc4ccccc4	CHEMBL285585	6.78	IC50	B
84	CCC(C)[C@H](NC(=O)c1cccc(c1)C(=O)N)C(=O)N[C@@H](CCc2ccccc2)C(=O)CO	CHEMBL97402	6.1	Ki	B
85	CC(C)CO[C@@H]1NC(=O)[C@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3	CHEMBL31363	7.04	IC50	B
86	O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@H]2[C@@H](NC2=O)Oc3ccccc3)OCc4ccccc4	CHEMBL282602	7.77	IC50	B
87	O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H]2CNC2=O)OCc3ccccc3	CHEMBL281518	4.43	IC50	A
88	CCCCO[C@@H]1NC(=O)[C@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3	CHEMBL30969	6.79	IC50	B
89	CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CCc2ccccc2)C(=O)CO	CHEMBL97493	6.19	Ki	B
90	O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@H]2[C@H](NC2=O)Sc3ccccc3)OCc4ccccc4	CHEMBL31272	7.82	IC50	B
91	O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@H]2[C@@H](NC2=O)OCc3ccccc3)OCc4ccccc4	CHEMBL284984	5.4	IC50	A
92	O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@H]2[C@@H](NC2=O)Sc3ccccc3)OCc4ccccc4	CHEMBL31788	10.0	IC50	C
93	CC(C)(C)O[C@@H]1NC(=O)[C@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3	CHEMBL30957	6.11	IC50	B
94	CCCC[C@H](NC(=O)[C@@H](NC(=O)c1ccc(CN)cc1)C(C)CC)C(=O)CO	CHEMBL96987	6.89	Ki	B
95	COCC(=O)[C@H](CCc1ccccc1)NC(=O)[C@H](CC(C)C)NC(=O)OCc2ccccc2	CHEMBL100095	4.65	Ki	A
96	O=C(CCc1ccccc1)O[C@@H]2NC(=O)[C@H]2NC(=O)[C@H](Cc3ccccc3)NC(=O)OCc4ccccc4	CHEMBL30356	7.33	IC50	B
97	CC(C)C[C@H](NC(=O)c1ccc(CN)cc1)C(=O)N[C@@H](CCc2ccccc2)C(=O)CO	CHEMBL100482	7.77	Ki	B
98	O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@H]2[C@@H](NC2=O)S(=O)(=O)c3ccccc3)OCc4ccccc4	CHEMBL287630	10.0	IC50	C
99	CCOCC(=O)[C@H](CCc1ccccc1)NC(=O)[C@H](CC(C)C)NC(=O)OCc2ccccc2	CHEMBL327290	4.78	Ki	A
100	CC(=O)O[C@@H]1NC(=O)[C@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3	CHEMBL417303	7.38	IC50	B
101	CCCC[C@H](NC(=O)[C@@H](NC(=O)c1cccc(c1)C(=O)N)C(C)CC)C(=O)CO	CHEMBL99288	6.12	Ki	B
102	O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@H]2[C@H](NC2=O)Oc3ccccc3)OCc4ccccc4	CHEMBL30401	8.59	IC50	C
103	Cc1cccc(C[C@H](Nc2ccc3COC(=O)c3c2)C(=O)N[C@@H](COCc4cccc(c4)n5cnnn5)C#N)c1	CHEMBL335426	5.62	IC50	A
104	Cc1cccc(C[C@H](Nc2ccccc2)C(=O)N[C@@H](COCc3cccc(c3)C(=O)O)C#N)c1	CHEMBL334717	5.75	IC50	A
105	COC(=O)c1cccc(N[C@@H](Cc2cccc(C)c2)C(=O)N[C@@H](COCc3cccc(c3)C(=O)O)C#N)c1	CHEMBL336115	6.68	IC50	B
106	Cc1cccc(C[C@H](Nc2ccccc2)C(=O)N[C@@H](COCc3ccccc3)C#N)c1	CHEMBL133508	6.66	IC50	B
107	Cc1cccc(C[C@H](Nc2ccccc2)C(=O)N[C@@H](COCc3ccc(Cl)c(c3)C(=O)O)C#N)c1	CHEMBL334879	5.85	IC50	A
108	OC(=O)c1cccc(COC[C@H](NC(=O)[C@H](Cc2ccccc2)Nc3ccccc3)C#N)c1	CHEMBL335269	5.21	IC50	A
109	Cc1cccc(C[C@H](Nc2ccccc2)C(=O)N[C@@H](COCc3ccc(F)c(c3)C(=O)O)C#N)c1	CHEMBL133107	5.85	IC50	A
110	Cc1cccc(C[C@H](Nc2ccccc2)C(=O)N[C@@H](COCc3ccc(cc3)C(=O)O)C#N)c1	CHEMBL133785	5.55	IC50	A
111	Cc1cccc(C[C@H](Nc2ccc3c(c2)C(=O)OC3(C)C)C(=O)N[C@@H](COCc4cccc(c4)C(=O)O)C#N)c1	CHEMBL131732	6.25	IC50	B
112	Cc1cccc(C[C@H](Nc2ccc3COC(=O)c3c2)C(=O)N[C@@H](COCc4ccc(F)c(c4)C(=O)O)C#N)c1	CHEMBL131688	5.96	IC50	A
114	O=C(NC1CCN(C1)C#N)c2ccccc2	CHEMBL440590	5.76	IC50	A
115	CCOC(=O)CCSCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3	CHEMBL161817	8.82	Ki	C
116	CC(C)(C)SCC(=O)[C@H](CCc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3cccnc3	CHEMBL161038	8.02	Ki	C
117	CC(C)(C)SCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3	CHEMBL161651	8.77	Ki	C
118	N#CN1CCCC1	CHEMBL262697	5.4	IC50	A
119	CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc2ccccc2)C(=O)CSCCCc3ccccc3	CHEMBL162474	8.33	Ki	C
120	N#CN1CC(C1)OCc2ccccc2	CHEMBL8547	7.0	IC50	B
121	O=C(NCC1CN(C1)C#N)c2ccccc2	CHEMBL8577	6.19	IC50	B
122	CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc2ccccc2)C(=O)CSC(C)(C)C	CHEMBL160000	8.1	Ki	C
123	N#CN1CCC1	CHEMBL8123	6.37	IC50	B
124	O=S(=O)(NCC1CN(C1)C#N)c2ccccc2	CHEMBL276169	7.3	IC50	B
125	O=C(NCC1CN(C1)C#N)C2CCCCC2	CHEMBL8796	8.22	IC50	C
126	O=C(NC1CCN(C1)C#N)c2ccc(cc2)c3ccccc3	CHEMBL8816	6.07	IC50	B
127	CC(C)C[C@H](NC(=O)OCc1cccnc1)C(=O)N[C@@H](CCc2ccccc2)C(=O)CSC(C)(C)C	CHEMBL352168	7.36	Ki	B
128	N#CN1CC(C1)OCC2CCCCC2	CHEMBL8726	7.0	IC50	B
129	CC(C)C[C@H](NC(=O)OCc1ccncc1)C(=O)N[C@@H](Cc2ccccc2)C(=O)CSC(C)(C)C	CHEMBL436227	7.54	Ki	B
130	O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCc2ccccc2)C(=O)CSCCCc3ccccc3)OCc4cccnc4	CHEMBL347459	7.54	Ki	B
131	O=S(=O)(NCC1CCN(C1)C#N)c2ccccc2	CHEMBL8563	6.46	IC50	B
132	O=S(=O)(NCC1CCCN1C#N)c2ccccc2	CHEMBL8591	4.94	IC50	A
133	CC(C)C[C@H](NC(=O)OCc1cccnc1)C(=O)N[C@@H](CCc2ccccc2)C(=O)CSCCCc3ccccc3	CHEMBL321974	6.84	Ki	B
134	N#CN1Cc2cc3ccccc3nc2C1	CHEMBL8517	6.35	IC50	B
135	O=S(=O)(NC1CCN(C1)C#N)c2ccccc2	CHEMBL275080	7.1	IC50	B
136	O=C(NCC1CCCN1C#N)c2ccccc2	CHEMBL8480	4.64	IC50	A
137	O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc2ccccc2)C(=O)CSCCCc3ccccc3)OCc4ccccc4	CHEMBL103238	8.55	Ki	C
138	N#CN1CCC(COCc2ccccc2)C1	CHEMBL274616	6.82	IC50	B
139	O=C(NC1CCN(C1)C#N)OCc2ccccc2	CHEMBL273229	7.27	IC50	B
140	Oc1ccc(C[C@H](NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3)C=O)cc1	CHEMBL177914	9.07	IC50	C
141	CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)NC2CCOCC2=O	CHEMBL162631	6.07	Ki	B
142	O=C(NC1(CCCCC1)C(=O)N[C@H]2[C@H](NC2=O)Oc3ccccc3)OCc4ccccc4	CHEMBL64245	4.8	Ki	A
143	CC(C)C[C@H](N(C)C(=O)OCc1ccccc1)C(=O)NC2CN(CC2=O)C(=O)[C@H](CC(C)C)N(C)C(=O)OCc3ccccc3	CHEMBL423995	7.31	Ki	B
144	CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)NNC(=O)c2csc(n2)[C@H](CC(C)C)NC(=O)OCc3ccccc3	CHEMBL57836	6.16	Ki	B
145	CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@H]2[C@@H](NC2=O)OC(=O)C	CHEMBL292513	7.06	Ki	B
146	CC(=O)O[C@@H]1NC(=O)[C@H]1NC(=O)[C@@H]2CCCC[C@@H]2NC(=O)OCc3ccccc3	CHEMBL64098	5.43	Ki	A
147	CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)NC2COCC2=O	CHEMBL61805	5.58	Ki	A
148	O=C(NC1(CCCCC1)C(=O)N[C@H]2[C@@H](NC2=O)Oc3ccccc3)OCc4ccccc4	CHEMBL64612	5.47	Ki	A
149	CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)NC2CN(CC2=O)C(=O)[C@H](CC(C)C)NC(=O)OCc3ccccc3	CHEMBL100563	7.41	Ki	B
150	CCC(C)[C@H](NS(=O)(=O)c1cccc2ccccc12)C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C=O	CHEMBL115676	8.72	IC50	C
151	COCC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1	CHEMBL301683	6.29	Ki	B
152	CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)NCC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)OCc2ccccc2	CHEMBL281540	6.47	Ki	B
153	CC(C)C[C@H](NC(=O)c1ccc2ccccc2n1)C(=O)NC3COCC3=O	CHEMBL62239	6.6	Ki	B
155	O=CC(Cc1ccccc1)NC(=O)C(Cc2ccccc2)NC(=O)OCc3ccccc3	CHEMBL115394	9.13	IC50	C
156	CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)NC2CN(CC2=O)C(=O)C	CHEMBL349445	6.24	Ki	B
158	Cl.CN[C@@H](CC(C)C)C(=O)N1C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)OCc2ccccc2)C(=O)C1	CHEMBL2371402	6.4	Ki	B
159	CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)NC2CCN(CC2=O)C(=O)[C@H](CC(C)C)NC(=O)OCc3ccccc3	CHEMBL118449	7.8	Ki	B
160	CC(=O)O[C@@H]1NC(=O)[C@H]1NC(=O)C2(CCCCC2)NC(=O)OCc3ccccc3	CHEMBL62655	5.17	Ki	A
161	[N-]=[N+]=CC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3	CHEMBL426774	7.3	IC50	B
162	CSC[C@@H](NC(=O)Cc1ccc(cc1)c2ccccc2)C(=O)N[C@H](CCCN=C(N)N)C(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@@H](Cc4ccccc4)C(=O)NCCCc5ccccc5	CHEMBL3143389	6.68	Ki	B
163	CSC[C@@H](NC(=O)Cc1ccc(cc1)c2ccccc2)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CC(C)C)C(=O)NCCc3ccccc3	CHEMBL3143397	6.57	Ki	B
164	NC(=N)NCCC[C@H](NC(=O)[C@H](CS)NC(=O)Cc1ccc(cc1)c2ccccc2)C(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)NCCc4ccccc4	CHEMBL3143399	7.35	Ki	B
165	NC(=N)NCCC[C@H](NC(=O)[C@H](CS)NC(=O)Cc1ccc(cc1)c2ccccc2)C(=O)N[C@@H](CC3CCCCC3)C(=O)NCCc4ccccc4	CHEMBL3143404	7.8	Ki	B
166	NC(=N)NCCC[C@@H](NC(=O)[C@H](CS)NC(=O)Cc1ccc(cc1)c2ccccc2)C(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@@H](Cc4ccccc4)C(=O)N	CHEMBL3143391	6.77	Ki	B
167	CSCC[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](CSC)NC(=O)Cc1ccc(cc1)c2ccccc2)C(=O)NCCc3ccccc3	CHEMBL3143401	6.62	Ki	B
168	CSC[C@H](NC(=O)Cc1ccc(cc1)c2ccccc2)C(=O)NCC(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@@H](Cc4ccccc4)C(=O)N	CHEMBL2371032	6.03	Ki	B
169	CSC[C@@H](NC(=O)Cc1ccc(cc1)c2ccccc2)C(=O)N[C@H](CCCN=C(N)N)C(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@@H](Cc4ccccc4)C(=O)NCc5ccccc5	CHEMBL3143407	5.18	Ki	A
170	NC(=N)NCCC[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CS)NC(=O)Cc1ccc(cc1)c2ccccc2)C(=O)NCCc3ccccc3	CHEMBL3143398	5.41	Ki	A
171	CCC[C@H](NC(=O)Cc1ccc(cc1)c2ccccc2)C(=O)N[C@H](CCCN=C(N)N)C(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@@H](Cc4ccccc4)C(=O)NCCc5ccccc5	CHEMBL3143396	6.31	Ki	B
