	canonical_smiles	molecule_chembl_id	pchembl_value	standard_type	interval
172	CSC[C@@H](NC(=O)Cc1ccc(cc1)c2ccccc2)C(=O)N[C@H](CCCN)C(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@@H](Cc4ccccc4)C(=O)NCCc5ccccc5	CHEMBL3143395	6.7	Ki	B
173	NC(=N)NCCC[C@@H](NC(=O)[C@H](CS)NC(=O)Cc1ccc(cc1)c2ccccc2)C(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@@H](Cc4ccccc4)C(=O)N	CHEMBL3143391	7.16	Ki	B
174	NC(=N)NCCC[C@@H](NC(=O)[C@H](CO)NC(=O)Cc1ccc(cc1)c2ccccc2)C(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@@H](Cc4ccccc4)C(=O)N	CHEMBL3143392	4.13	Ki	A
175	NC(=N)NCCC[C@H](NC(=O)[C@H](CS)NC(=O)Cc1ccc(cc1)c2ccccc2)C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)NCCc5ccccc5	CHEMBL3143405	7.17	Ki	B
176	CC[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CS)NC(=O)Cc1ccc(cc1)c2ccccc2)C(=O)NCCc3ccccc3	CHEMBL3143408	6.68	Ki	B
177	CSC[C@@H](NC(=O)Cc1ccc(cc1)c2ccccc2)C(=O)N[C@H](CCCN=C(N)N)C(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@@H](Cc4ccccc4)C(=O)NCCc5ccccc5	CHEMBL3143406	7.72	Ki	B
178	NC(=N)NCCC[C@H](NC(=O)[C@H](CS)NC(=O)Cc1ccc(cc1)c2ccccc2)C(=O)N[C@@H](Cc3ccc(cc3)c4ccccc4)C(=O)NCCc5ccccc5	CHEMBL3143402	6.57	Ki	B
179	NC(=N)NCCC[C@H](NC(=O)[C@H](CS)NC(=O)Cc1ccc(cc1)c2ccccc2)C(=O)N[C@@H](Cc3ccc4ccccc4c3)C(=O)NCCc5ccccc5	CHEMBL3143403	6.8	Ki	B
180	NC(=N)NCCC[C@@H](NC(=O)[C@H](CS)NC(=O)Cc1ccc(cc1)c2ccccc2)C(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@@H](Cc4ccccc4)C(=O)NCCc5ccccc5	CHEMBL3143390	7.68	Ki	B
181	NC(=O)C[C@H](NC(=O)Cc1ccc(cc1)c2ccccc2)C(=O)N[C@H](CCCN=C(N)N)C(=O)N[C@@H](Cc3ccccc3)C(=O)NC(Cc4ccccc4)C(=O)N	CHEMBL3143410	4.42	Ki	A
182	NC(=O)C(=O)C(Cc1ccccc1)NC(=O)c2ccccc2\C=C\c3ccc4ccccc4c3	CHEMBL280587	5.21	Ki	A
183	NC(=N)NCCC[C@H](NC(=O)[C@H](Cc1ccccc1)C(=O)OCc2ccccc2)C(=O)C=O	CHEMBL51128	7.05	Ki	B
184	CCCCOc1ccc(C[C@H](NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3)C(=O)C=O)cc1	CHEMBL48837	9.22	Ki	C
185	CC(C)C[C@H](NC(=O)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)C=O	CHEMBL48605	6.01	Ki	B
186	CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)NC2CN(CC2=O)C(=O)c3ccc(Oc4ccccc4)cc3	CHEMBL119219	7.26	Ki	B
187	CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)NC2CCN(CC2=O)C(=O)[C@H](CC(C)C)NC(=O)OCc3ccccc3	CHEMBL118449	7.8	Ki	B
188	CC(C)C[C@@H](CN1CC(NC(=O)[C@H](CC(C)C)NC(=O)OCc2ccncc2)C(=O)C1)NC(=O)OCc3ccccc3	CHEMBL119285	6.92	Ki	B
189	CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)NC2CN(CC2=O)C(=O)[C@H](CC(C)C)NC(=O)OCc3ccccc3	CHEMBL100563	7.41	Ki	B
190	CC(C)C[C@H](CC(=O)NO)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](C)C=O	CHEMBL126122	7.82	IC50	B
191	CC(C)C[C@H](CC(=O)NO)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCC=O	CHEMBL123571	5.37	IC50	A
192	CC(C)C[C@H](CC(=O)NO)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C=O	CHEMBL125553	7.64	IC50	B
193	CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)CC(=O)NO)C=O	CHEMBL124623	8.15	IC50	C
194	C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc2ccccc2)C=O	CHEMBL122591	8.52	IC50	C
195	CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)NCCNc2ccc(OCc3ccncc3)cc2	CHEMBL61887	5.0	IC50	A
196	COc1ccc(NCCNC(=O)[C@H](CC(C)C)NC(=O)OCc2ccccc2)cc1	CHEMBL60242	5.4	IC50	A
197	COc1ccc(NCCNC(=O)[C@H](CC(C)C)NC(=O)c2ccccc2)cc1	CHEMBL64546	6.82	IC50	B
198	CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)NCCNc2ccc(OC3CCOCC3)cc2	CHEMBL64634	5.0	IC50	A
199	CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)NCCNc2ccc(OC3CCCC3)cc2	CHEMBL303517	5.22	IC50	A
200	COc1ccc(cc1)C(=O)N[C@@H](CC(C)C)C(=O)NCCNc2ccc(OCC3CCCC3)cc2	CHEMBL294260	6.24	IC50	B
201	COc1ccc(NCCNC(=O)[C@H](CC(C)C)NC(=O)c2cccc(OC)c2)cc1	CHEMBL61471	6.89	IC50	B
202	COc1ccc(NCCNC(=O)[C@H](CC(C)C)NC(=O)c2ccc(OC)cc2)cc1	CHEMBL59605	6.1	IC50	B
203	CC(C)C[C@H](NC(=O)c1cc2ccccc2[nH]1)C(=O)NCCNc3ccc(OCc4ccccc4)cc3	CHEMBL60835	5.16	IC50	A
204	COc1ccc(NCCNC(=O)[C@H](CC(C)C)NC(=O)c2cc3ccccc3[nH]2)cc1	CHEMBL304918	7.05	IC50	B
205	CCc1ccc(cc1)C(=O)N[C@@H](CC(C)C)C(=O)NCCNc2ccc(OC)cc2	CHEMBL64604	7.52	IC50	B
206	CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)NCCNc2ccc(OC3CCN(C)CC3)cc2	CHEMBL59277	5.0	IC50	A
207	CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)NCCNc2ccc(OC3CCCCC3)cc2	CHEMBL304669	5.0	IC50	A
208	COc1ccc(cc1)C(=O)N[C@@H](CC(C)C)C(=O)NCCNc2ccc(OCC(C)C)cc2	CHEMBL58179	6.24	IC50	B
209	CCc1ccc(cc1)C(=O)N[C@@H](CC(C)C)C(=O)NCCNc2ccc(OCc3ccccc3)cc2	CHEMBL59817	5.89	IC50	A
211	CC(C)C[C@@H](C(=O)NCC#N)c1cccc(c1)c2ccc(cc2)N3CCNCC3	CHEMBL184514	5.43	IC50	A
212	CC(C)C[C@@H](C(=O)NCC#N)c1cccc(c1)c2ccc(cc2)N3CCN(C)CC3	CHEMBL2111806	5.2	IC50	A
213	CC(C)CC(C(=O)NCC#N)c1cccc(c1)c2ccc(cc2)N3CCN(CC3)C(C)(C)C	CHEMBL123199	5.78	IC50	A
215	CC(C)CC(C(=O)NCC#N)c1cccc(c1)c2ccc(cc2)N3CCNCC3	CHEMBL122149	5.32	IC50	A
216	CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N2CC(NC(=O)[C@@H](CC(C)C)NC(=O)OCc3ccccc3)C(=O)C2	CHEMBL29483	7.41	Ki	B
217	CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)NC2CCCN(CC2=O)C(=O)[C@H](CC(C)C)NC(=O)OCc3ccccc3	CHEMBL31947	7.33	Ki	B
218	CC(C)CC(C(=O)NCC#N)c1cccc(c1)c2ccc(cc2)N3CCOCC3	CHEMBL124159	5.8	IC50	A
219	CC(C)CC(C(=O)NCC#N)c1cccc(c1)c2ccc(cc2)C3CNCCN3	CHEMBL122812	6.47	IC50	B
220	CC(C)CC(C(=O)NCC#N)c1cccc(c1)c2ccc(cc2)C34CCN(CC3)CC4	CHEMBL334074	5.65	IC50	A
221	CC(C)CC(NC(=O)c1ccccc1)C(=O)NCC#N	CHEMBL122513	7.38	IC50	B
222	CCCC[C@H](NC(=O)OC1(Cc2ccccc2)CCCCC1)C=O	CHEMBL117144	5.07	IC50	A
223	CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N2CCC(NC(=O)[C@@H](CC(C)C)NC(=O)OCc3ccccc3)C(=O)C2	CHEMBL281086	7.8	Ki	B
224	CC(C)CC(C(=O)NCC#N)c1cncc(c1)c2ccccc2	CHEMBL121807	6.08	IC50	B
225	CC(C)CC(C(=O)NCC#N)c1cccc(c1)c2ccc(cc2)N3CCN(CCO)CC3	CHEMBL123291	6.85	IC50	B
228	CCCC[C@H](NC(=O)O[C@@H](C)CC1CCCCC1)C=O	CHEMBL116402	6.57	IC50	B
229	CC(C)C[C@H](NC(=O)c1oc2ccc(OCCN3CCOCC3)cc2c1)C(=O)N[C@H]4CCCN(CC4=O)C(=O)Cc5cccc(c5)c6ccccn6	CHEMBL284939	9.31	Ki	C
231	CC(C)CC(C(=O)N(CC#N)OC(=O)C(F)(F)F)c1cccc(c1)c2ccncc2	CHEMBL125656	5.24	IC50	A
232	CC(C)CC(C(=O)NCC#N)c1cccc(c1)c2ccc(cc2)N3CCN(C)CC3	CHEMBL123227	5.33	IC50	A
235	CC(C)CC(C(=O)NCC#N)c1cccc(c1)c2ccccn2	CHEMBL122424	5.25	IC50	A
236	CC(C)CC(C(=O)NCC#N)c1cccc(c1)c2ccc3cc[nH]c3c2	CHEMBL122318	5.57	IC50	A
237	CC(C)CC(C(=O)NCC#N)c1cccc(c1)c2ccc(cc2)N3CCN(CC(C)(C)O)CC3	CHEMBL122879	5.02	IC50	A
239	CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)NCC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)OCc2ccccc2	CHEMBL281540	6.47	Ki	B
240	CC(C)CC(C(=O)NCC#N)c1cccc(c1)c2ccc(cc2)N3CCN(CC(=O)C)CC3	CHEMBL123200	5.67	IC50	A
241	CCCC[C@H](NC(=O)OC1(Cc2ccccc2)CCC1)C=O	CHEMBL116724	5.92	IC50	A
242	CCCC[C@H](NC(=O)OC(CC)(CC)Cc1ccccc1)C=O	CHEMBL116779	6.96	IC50	B
244	CN1CCN(CC1)c2ccc(cc2)c3cccc(c3)C(Cc4ccccc4)C(=O)NCC#N	CHEMBL332776	5.41	IC50	A
245	CC(C)C[C@H](NC(=O)c1oc2ccccc2c1)C(=O)N[C@H]3CCCN(CC3=O)S(=O)(=O)c4ccccn4	CHEMBL286364	8.66	Ki	C
247	CCCC[C@H](NC(=O)OC1(Cc2ccccc2)CCCC1)C=O	CHEMBL117658	5.7	IC50	A
252	CC(C)CC(C(=O)NCC#N)c1cccc(c1)c2ccc(cc2)C3=CCNCC3	CHEMBL123037	5.77	IC50	A
255	CCCC[C@H](NC(=O)O[C@@H](C)Cc1ccccc1)C=O	CHEMBL114161	6.13	IC50	B
259	CC(C)CC(C(=O)NCC#N)c1cccc(c1)c2cccnc2	CHEMBL123592	5.22	IC50	A
260	CC(C)CC(C(=O)NCC#N)c1cccc(c1)c2ccc(cc2)C3CCNCC3	CHEMBL123038	5.56	IC50	A
262	CCCC[C@H](NC(=O)O[C@@H](CC)Cc1ccccc1)C=O	CHEMBL114462	7.82	IC50	B
265	CC(C)CC(C(=O)NCC#N)c1cccc(c1)c2ccccc2	CHEMBL122764	6.3	IC50	B
266	CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H]2CCCN(CC2=O)C(=O)[C@H](CC(C)C)NC(=O)OCc3ccccc3	CHEMBL286034	6.54	Ki	B
267	CC(C)CC(C(=O)NCC#N)c1cccc(c1)c2ccc(cc2)C3CNCCO3	CHEMBL333716	6.04	IC50	B
268	CC(C)CC(C(=O)NCC#N)c1cccc(c1)c2ccc(cc2)c3ccncc3	CHEMBL126152	5.08	IC50	A
269	O=C(Cc1ccccc1)N[C@@H](Cc2ccccc2)C(=O)NCC#N	CHEMBL140794	6.77	IC50	B
270	O=C(NCC#N)[C@H](Cc1ccccc1)NC(=O)C(c2ccccc2)c3ccccc3	CHEMBL342145	7.51	IC50	B
271	Cc1cccc(C[C@H](NC(=O)c2ccc(F)cc2F)C(=O)N[C@@H](COCc3cccc(c3)C(=O)O)C#N)c1	CHEMBL134083	6.26	IC50	B
272	Cc1cccc(C[C@H](NC(=O)C(c2ccccc2)c3ccccc3)C(=O)N[C@@H](COCc4cccc(c4)C(=O)O)C#N)c1	CHEMBL336228	7.7	IC50	B
273	Cc1cccc(C[C@H](NC(=O)C(c2ccccc2)c3ccccc3)C(=O)NCC#N)c1	CHEMBL140756	8.22	IC50	C
290	C[C@@H](CC1CCCCC1)OC(=O)C2CCCN2C#N	CHEMBL180839	6.89	IC50	B
291	C[C@@H](CC1CCCCC1)OC(=O)C2CCN2C#N	CHEMBL183812	9.15	IC50	C
292	C[C@@H](CC1CCCCC1)OC(=O)N[C@H]2CCN(C2)C#N	CHEMBL183660	7.09	IC50	B
293	CC(C)C[C@H](Nc1cscc1c2ccc(cc2)N3CCNCC3)C(=O)NCC#N	CHEMBL182956	6.45	IC50	B
294	CC(C)C[C@@H](C(=O)NCC#N)c1cccc(c1)c2ccc(cc2)N3CCNCC3	CHEMBL184514	5.43	IC50	A
295	CC(C)C[C@H](Nc1ccccc1c2ccc(cc2)N3CCNCC3)C(=O)NCC#N	CHEMBL183306	5.68	IC50	A
296	CC(C)C[C@H](Nc1cccc(c1)c2ccc(cc2)N3CCNCC3)C(=O)NCC#N	CHEMBL185431	6.97	IC50	B
297	CC(C)C[C@H](Nc1ccc(cc1)c2ccc(cc2)N3CCNCC3)C(=O)NCC#N	CHEMBL184859	6.94	IC50	B
298	CC(C)C[C@H](Nc1cscc1Br)C(=O)NCC#N	CHEMBL365007	6.34	IC50	B
300	CCC[C@H](NC(=O)[C@@H]1C2CCCC2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c3cnccn3)[C@@H](C)CC)C(C)(C)C)C(=O)C(=O)NC4CC4	CHEMBL2371795	4.82	Ki	A
305	CCCC(NC(=O)[C@@H]1C2CCCC2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c3cnccn3)C4CCCCC4)C(C)(C)C)C(=O)C(=O)N[C@H](C)c5ccccc5	CHEMBL184035	4.29	Ki	A
306		CHEMBL182346	4.05	IC50	A
308		CHEMBL182062	4.22	IC50	A
309		CHEMBL182062	4.32	Ki	A
311	C[C@@H](NC(=O)C(=O)[C@H](CCCCNC(=O)N1CCOCC1)NC(=O)OCC2(Cc3ccc(F)cc3)CCC2)c4ccccc4	CHEMBL180528	6.17	IC50	B
312	CCCC[C@H](NC(=O)OC1(Cc2ccccc2)CCCC1)C(=O)C(=O)N[C@H](C)c3ccccc3	CHEMBL362134	5.52	IC50	A
313	CCCC[C@H](NC(=O)OCC(C)(C)c1ccccc1)C(=O)C(=O)N[C@H](C)c2ccccc2	CHEMBL426611	5.52	IC50	A
314	CCCC[C@H](NC(=O)OCC(C)(C)Cc1ccccc1)C(=O)C(=O)N[C@H](C)c2ccccc2	CHEMBL182775	5.92	IC50	A
315	CCCC[C@H](NC(=O)OCC1(Cc2ccccc2)CCC1)C(=O)C(=O)N[C@H](C)c3ccccc3	CHEMBL366268	5.89	IC50	A
316	CCCC[C@H](NC(=O)OCC1(Cc2ccccc2)CCCC1)C(=O)C(=O)N[C@H](C)c3ccccc3	CHEMBL184403	5.66	IC50	A
317	CCCC[C@H](NC(=O)OCC1(CCc2ccccc2)CCC1)C(=O)C(=O)N[C@H](C)c3ccccc3	CHEMBL184329	5.8	IC50	A
318	CCCC[C@H](NC(=O)OCC1(CCCc2ccccc2)CCC1)C(=O)C(=O)N[C@H](C)c3ccccc3	CHEMBL187687	5.89	IC50	A
319	CCCC[C@H](NC(=O)OCC1(Cc2ccc(F)cc2)CCC1)C(=O)C(=O)Nc3ccn[nH]3	CHEMBL185097	6.48	IC50	B
320	CCCC[C@H](NC(=O)O[C@H](Cc1oc(nn1)c2ccccc2)C(C)(C)C)C(=O)C(=O)N[C@H](C)c3ccccc3	CHEMBL186778	5.0	IC50	A
321	CCCC[C@H](NC(=O)O[C@H](Cc1oc(nn1)c2ccccc2)C(C)C)C(=O)C(=O)N[C@H](C)c3ccccc3	CHEMBL189604	4.77	IC50	A
322	CCCC[C@H](NC(=O)O[C@H](Cc1oc(nn1)c2ccccc2)C(C)(C)CC)C(=O)C(=O)N[C@H](C)c3ccccc3	CHEMBL188563	4.77	IC50	A
323	CCCC[C@H](NC(=O)O[C@H](Cc1oc(nn1)c2ccc(F)cc2)C(C)(C)C)C(=O)C(=O)N[C@H](C)c3ccccc3	CHEMBL188438	4.48	IC50	A
325	CCCC[C@H](NC(=O)O[C@H](Cc1oc(nn1)c2ccc(cc2)C(F)(F)F)C(C)(C)C)C(=O)C(=O)Nc3ccn[nH]3	CHEMBL188400	4.16	IC50	A
326	CCCC[C@H](NC(=O)O[C@H](Cn1ccc(n1)c2ccc(cc2)C(F)(F)F)C(C)(C)C)C(=O)C(=O)Nc3ccn[nH]3	CHEMBL234367	5.06	IC50	A
327	CCCC[C@H](NC(=O)O[C@H](Cn1cc(cn1)c2ccc(cc2)C(F)(F)F)C(C)(C)C)C(=O)C(=O)Nc3ccn[nH]3	CHEMBL190053	4.44	IC50	A
328	CCCC[C@H](NC(=O)O[C@H](Cn1cnc(c1)c2ccc(cc2)C(F)(F)F)C(C)(C)C)C(=O)C(=O)Nc3ccn[nH]3	CHEMBL191584	5.0	IC50	A
329	CCCC[C@H](NC(=O)O[C@H](CN1CCN(C1=O)c2ccc(cc2)C(F)(F)F)C(C)(C)C)C(=O)C(=O)Nc3ccn[nH]3	CHEMBL191178	4.43	IC50	A
331	CCCC[C@H](NC(=O)OC(Cc1oc(nn1)c2ccc(F)cc2)C(C)(C)C)C(=O)C(=O)N[C@H]3CCCNC3=O	CHEMBL426617	4.82	IC50	A
337	C[C@@H](CC1CCCCC1)OC(=O)NN(C)C#N	CHEMBL190121	10.6	Ki	nan
338	C[C@@H](CC1CCCCC1)OC(=O)CN(C)C#N	CHEMBL189149	5.82	Ki	A
339	CC(C)N(NC(=O)O[C@@H](C)CC1CCCCC1)C#N	CHEMBL371420	9.1	Ki	C
340	CC[C@@H](Cc1ccccc1)OC(=O)NN(C)C#N	CHEMBL191558	10.44	Ki	nan
341	O[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(NC4CCCCC4)nc(nc23)C#N	CHEMBL365564	6.37	IC50	B
342	N#Cc1nc(NC2CCCCC2)c3ncn(C4CCCC4)c3n1	CHEMBL370318	6.52	IC50	B
343	CN1CCN(CCn2cnc3c(NC4CCCCC4)nc(nc23)C#N)CC1	CHEMBL363847	7.05	IC50	B
344	COCCN(C)CCn1cnc2c(NC3CCCCC3)nc(nc12)C#N	CHEMBL186062	7.12	IC50	B
345	CN1CCN(CCOc2ccc(COc3ccccc3Nc4nc(nc5c4ncn5C6CCCC6)C#N)cc2)CC1	CHEMBL189730	6.25	IC50	B
346	COCCNCCOc1ccc(COc2ccccc2Nc3nc(nc4c3ncn4C5CCCC5)C#N)cc1	CHEMBL361499	6.64	IC50	B
347	N#Cc1nc(Nc2ccccc2OCCCn3ccnc3)c4ncn(C5CCCC5)c4n1	CHEMBL188865	7.36	IC50	B
348	CN1CCN(CCCOc2ccccc2Nc3nc(nc4c3ncn4C5CCCC5)C#N)CC1	CHEMBL188139	7.09	IC50	B
349	CCCC[C@H](NC(=O)O[C@@H]1C[C@H](C)C[C@H](C)C1)C(=O)C(=O)N[C@H](C)c2ccccc2	CHEMBL371749	5.36	IC50	A
350	CCCC[C@H](NC(=O)OC1C[C@H](C)C[C@@H](C)C1)C(=O)C(=O)N[C@H](C)c2ccccc2	CHEMBL195301	5.17	IC50	A
351	CCCC[C@H](NC(=O)O[C@H]1CCc2ccccc12)C(=O)C(=O)N[C@H](C)c3ccccc3	CHEMBL196240	6.34	IC50	B
352	CCCC[C@H](NC(=O)O[C@H]1CCCc2ccccc12)C(=O)C(=O)N[C@H](C)c3ccccc3	CHEMBL195963	6.18	IC50	B
353	CCCC[C@H](NC(=O)OC1CC2CCC1C2)C(=O)C(=O)N[C@H](C)c3ccccc3	CHEMBL196298	6.0	IC50	B
354	CCCC[C@H](NC(=O)OC1C2(C)CCC(C2)C1(C)C)C(=O)C(=O)N[C@H](C)c3ccccc3	CHEMBL193582	5.77	IC50	A
355	CCCC[C@H](NC(=O)OC1C2CC3CC(CC1C3)C2)C(=O)C(=O)N[C@H](C)c4ccccc4	CHEMBL197509	5.58	IC50	A
356	CCCC[C@H](NC(=O)O[C@@H]1C(=O)OCC1(C)C)C(=O)C(=O)N[C@H](C)c2ccccc2	CHEMBL196896	6.39	IC50	B
357	CCCC[C@H](NC(=O)O[C@@H]1C(=O)NCC1(C)C)C(=O)C(=O)N[C@H](C)c2ccccc2	CHEMBL194068	6.82	IC50	B
358	CC(C)C[C@@H](C(=O)NCC#N)c1cccc(c1)c2ccc(cc2)N3CCNCC3	CHEMBL184514	5.43	IC50	A
359	CC(C)C[C@H](Nc1cscc1c2ccc(cc2)N3CCNCC3)C(=O)NCC#N	CHEMBL182956	6.45	IC50	B
360	CC(C)C[C@H](NC(c1ccc(Br)cc1)C(F)(F)F)C(=O)NCC#N	CHEMBL372979	7.47	IC50	B
361	CC(C)C[C@H](N[C@@H](c1ccc(cc1)c2ccc(cc2)N3CCNCC3)C(F)(F)F)C(=O)NCC#N	CHEMBL195454	7.33	IC50	B
362	CC(C)CC(NC(c1ccc(cc1)c2ccc(cc2)N3CCNCC3)C(F)(F)F)C(=O)NCC#N	CHEMBL195505	7.17	IC50	B
363	CN1CCN(CC1)c2nc(cs2)c3ccc(cc3)C(=O)NC4(CCCCC4)C(=O)NCC#N	CHEMBL426819	5.41	IC50	A
364	O=C(NC1(CCCCC1)C(=O)NCC#N)c2ccc(cc2)c3ccc(cc3)N4CCNCC4	CHEMBL371133	5.64	IC50	A
365	CC(C)C[C@H](NC(=O)c1oc2ccccc2c1)C(=O)N[C@H]3CCCN(CC3=O)S(=O)(=O)c4ccccn4	CHEMBL286364	8.66	Ki	C
366	CC(C)C[C@H](NC(=O)c1ccc2ccccc2n1)C(=O)N[C@H]3CCCN(CC3=O)S(=O)(=O)c4ccccn4	CHEMBL433985	8.3	Ki	C
367	CC(C)C[C@H](NC(=O)c1cccc2cccnc12)C(=O)N[C@H]3CCCN(CC3=O)S(=O)(=O)c4ccccn4	CHEMBL196023	8.09	Ki	C
368	CC(C)C[C@H](NC(=O)c1cccc2ccccc12)C(=O)N[C@H]3CCCN(CC3=O)S(=O)(=O)c4ccccn4	CHEMBL382286	8.85	Ki	C
369	O=C(N[C@H]1CCCN(CC1=O)S(=O)(=O)c2ccccn2)[C@H](Cc3ccccc3)NC(=O)c4oc5ccccc5c4	CHEMBL407633	8.77	Ki	C
370	O=C(N[C@H]1CCCN(CC1=O)S(=O)(=O)c2ccccn2)[C@H](Cc3ccc4ccccc4c3)NC(=O)c5oc6ccccc6c5	CHEMBL194861	9.24	Ki	C
371	O=C(N[C@H]1CCCN(CC1=O)S(=O)(=O)c2ccccn2)[C@H](Cc3ccc4ccccc4c3)NC(=O)c5cccc6ccccc56	CHEMBL194643	9.37	Ki	C
372	Oc1ccc(C[C@H](NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3)C=O)cc1	CHEMBL177914	9.33	Ki	C
373	CCC(C)[C@H](NS(=O)(=O)c1cccc2ccccc12)C(=O)N[C@@H](Cc3cc4ccccc4[nH]3)C=O	CHEMBL197958	9.06	Ki	C
374	CC(C)C[C@H](CC(=O)NO)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](C)C=O	CHEMBL126122	7.6	IC50	B
375	COc1ccc(NCCNC(=O)[C@H](CC(C)C)NC(=O)c2cccc(C)c2)cc1	CHEMBL64765	8.14	Ki	C
376	COc1ccc(NCCNC(=O)[C@H](CC(C)(C)C)NC(=O)c2cccc(C)c2)cc1	CHEMBL198612	6.67	Ki	B
377	COc1ccc(NCCNC(=O)[C@@H](NC(=O)c2cccc(C)c2)C3CCCCC3)cc1	CHEMBL370198	7.66	Ki	B
378	COc1ccc(NCCNC(=O)[C@H](CC2CCCCC2)NC(=O)c3cccc(C)c3)cc1	CHEMBL199242	8.34	Ki	C
379	COc1ccc(NCCNC(=O)[C@H](CCC2CCCCC2)NC(=O)c3cccc(C)c3)cc1	CHEMBL198147	6.49	Ki	B
380	COc1ccc(NCCNC(=O)[C@@H](NC(=O)c2cccc(C)c2)c3ccccc3)cc1	CHEMBL197543	6.87	Ki	B
381	COc1ccc(NCCNC(=O)[C@H](Cc2ccccc2)NC(=O)c3cccc(C)c3)cc1	CHEMBL380989	8.43	Ki	C
382	COc1ccc(NCCNC(=O)[C@H](Cc2ccc(Cl)cc2)NC(=O)c3cccc(C)c3)cc1	CHEMBL198016	8.85	Ki	C
383	COc1ccc(NCCNC(=O)[C@H](Cc2cccc(Cl)c2)NC(=O)c3cccc(C)c3)cc1	CHEMBL199070	8.82	Ki	C
384	COc1ccc(NCCNC(=O)[C@H](Cc2ccccc2Cl)NC(=O)c3cccc(C)c3)cc1	CHEMBL370764	8.3	Ki	C
385	COc1ccc(NCCNC(=O)[C@H](Cc2ccc(C)cc2)NC(=O)c3cccc(C)c3)cc1	CHEMBL436756	8.47	Ki	C
386	COc1ccc(NCCNC(=O)[C@H](Cc2ccc(cc2)C(F)(F)F)NC(=O)c3cccc(C)c3)cc1	CHEMBL195999	8.55	Ki	C
387	COc1ccc(C[C@H](NC(=O)c2cccc(C)c2)C(=O)NCCNc3ccc(OC)cc3)cc1	CHEMBL425379	8.03	Ki	C
388	COc1ccc(NCCNC(=O)[C@H](Cc2ccc(NC(=O)C)cc2)NC(=O)c3cccc(C)c3)cc1	CHEMBL199239	7.64	Ki	B
389	COc1ccc(NCCNC(=O)[C@@H](NC(=O)c2cccc(C)c2)c3cccnc3)cc1	CHEMBL199052	6.17	Ki	B
390	COc1ccc(NCCNC(=O)[C@@H](NC(=O)c2cccc(C)c2)c3ccncc3)cc1	CHEMBL199019	6.6	Ki	B
391	COc1ccc(NCCNC(=O)[C@H](Cc2occc2)NC(=O)c3cccc(C)c3)cc1	CHEMBL199115	5.52	Ki	A
392	COc1ccc(NCCNC(=O)[C@H](Cc2cncs2)NC(=O)c3cccc(C)c3)cc1	CHEMBL425211	5.38	Ki	A
393	COc1ccc(NCCNC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)c4cccc(C)c4)cc1	CHEMBL198299	8.96	Ki	C
394	COc1ccc(NCCNC(=O)[C@H](Cc2cc3ccccc3[nH]2)NC(=O)c4cccc(C)c4)cc1	CHEMBL435116	8.14	Ki	C
395	COc1ccc(NCCNC(=O)[C@H](Cc2ccc(cc2)c3ccccc3)NC(=O)c4cccc(C)c4)cc1	CHEMBL198318	8.92	Ki	C
396	COc1ccc(NCCNC(=O)[C@H](Cc2c(F)c(F)c(F)c(F)c2F)NC(=O)c3cccc(C)c3)cc1	CHEMBL372081	7.6	Ki	B
